year,county,price
1996,Atlantic ,108995.08
1996,Bergen ,215173.58
1996,Burlington ,138151.67
1996,Camden ,106914.5
1996,Cape May ,131862.67
1996,Cumberland ,110042.25
1996,Essex ,168129.67
1996,Gloucester ,123223.5
1996,Hudson ,150335.58
1996,Hunterdon ,221218.58
1996,Mercer ,140542.08
1996,Middlesex ,160120.67
1996,Monmouth ,183760.92
1996,Morris ,224417.83
1996,Ocean ,135326.67
1996,Passaic ,177149.17
1996,Salem ,
1996,Somerset ,207399.5
1996,Sussex ,133877.42
1996,Union ,180548.17
1996,Warren ,159980.83
1997,Atlantic ,111600.33
1997,Bergen ,217857.92
1997,Burlington ,139935.25
1997,Camden ,108041.17
1997,Cape May ,134215.5
1997,Cumberland ,110799.08
1997,Essex ,168817.17
1997,Gloucester ,124826.42
1997,Hudson ,154252.92
1997,Hunterdon ,224235.75
1997,Mercer ,140867.33
1997,Middlesex ,160702.42
1997,Monmouth ,188311.0
1997,Morris ,228809.08
1997,Ocean ,137890.0
1997,Passaic ,180742.75
1997,Salem ,
1997,Somerset ,209609.83
1997,Sussex ,135465.58
1997,Union ,183402.42
1997,Warren ,161938.67
1998,Atlantic ,115382.33
1998,Bergen ,226943.33
1998,Burlington ,141871.92
1998,Camden ,109267.58
1998,Cape May ,140549.92
1998,Cumberland ,111699.75
1998,Essex ,174813.83
1998,Gloucester ,127571.42
1998,Hudson ,162234.92
1998,Hunterdon ,228585.08
1998,Mercer ,143338.17
1998,Middlesex ,164611.5
1998,Monmouth ,194960.83
1998,Morris ,239136.0
1998,Ocean ,141711.67
1998,Passaic ,185324.83
1998,Salem ,
1998,Somerset ,214658.92
1998,Sussex ,137786.08
1998,Union ,188510.42
1998,Warren ,164357.75
1999,Atlantic ,120679.0
1999,Bergen ,244393.92
1999,Burlington ,145541.92
1999,Camden ,112734.75
1999,Cape May ,151798.75
1999,Cumberland ,115199.5
1999,Essex ,189112.17
1999,Gloucester ,130959.83
1999,Hudson ,174291.58
1999,Hunterdon ,243489.75
1999,Mercer ,149002.67
1999,Middlesex ,173557.33
1999,Monmouth ,207441.33
1999,Morris ,256095.92
1999,Ocean ,148056.5
1999,Passaic ,195330.58
1999,Salem ,
1999,Somerset ,227604.17
1999,Sussex ,144034.83
1999,Union ,198950.17
1999,Warren ,172942.08
2000,Atlantic ,128581.33
2000,Bergen ,270978.33
2000,Burlington ,151686.92
2000,Camden ,116454.5
2000,Cape May ,173212.25
2000,Cumberland ,120634.42
