county,year,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson
Atlantic,2019,0,0,0,0,0,0,0,0,0,0
Bergen,2019,2,0,2,0,0,46,2,44,0,0
Burlington,2019,0,0,0,0,0,0,0,0,0,0
Camden,2019,2,0,0,0,2,44,4,38,2,0
Cape May,2019,0,0,0,0,0,0,0,0,0,0
Cumberland,2019,0,0,0,0,0,1,0,1,0,0
Essex,2019,131,0,9,35,87,135,5,127,3,8
Gloucester,2019,0,0,0,0,0,0,0,0,0,0
Hudson,2019,0,0,0,0,0,0,0,0,0,0
Hunterdon,2019,0,0,0,0,0,0,0,0,0,0
Mercer,2019,2,0,0,0,2,14,1,6,7,0
Middlesex,2019,0,0,0,0,0,0,0,0,0,0
Monmouth,2019,7,0,0,0,7,1,0,1,0,0
Morris,2019,0,0,0,0,0,0,0,0,0,0
Ocean,2019,0,0,0,0,0,8,0,8,0,0
Passaic,2019,0,0,0,0,0,0,0,0,0,0
Salem,2019,0,0,0,0,0,0,0,0,0,0
Somerset,2019,1,0,0,0,1,1,0,1,0,0
Sussex,2019,0,0,0,0,0,0,0,0,0,0
Union,2019,0,0,0,0,0,0,0,0,0,0
Warren,2019,0,0,0,0,0,0,0,0,0,0
Atlantic,2018,0,0,0,0,0,0,0,0,0,0
Bergen,2018,0,0,0,0,0,0,0,0,0,0
Burlington,2018,0,0,0,0,0,0,0,0,0,0
Camden,2018,6,0,0,0,6,37,0,35,2,0
Cape May,2018,1,0,0,0,1,1,0,1,0,0
Cumberland,2018,1,0,0,0,1,0,0,0,0,0
Essex,2018,107,0,4,29,74,111,20,84,7,0
Gloucester,2018,1,0,0,0,1,1,0,1,0,0
Hudson,2018,0,0,0,0,0,0,0,0,0,0
Hunterdon,2018,0,0,0,0,0,0,0,0,0,0
Mercer,2018,1,0,0,0,1,13,7,4,2,0
Middlesex,2018,0,0,0,0,0,0,0,0,0,0
Monmouth,2018,8,0,0,0,8,0,0,0,0,0
Morris,2018,0,0,0,0,0,0,0,0,0,0
Ocean,2018,1,0,0,0,1,7,0,7,0,0
Passaic,2018,0,0,0,0,0,0,0,0,0,0
Salem,2018,0,0,0,0,0,0,0,0,0,0
Somerset,2018,0,0,0,0,0,0,0,0,0,0
Sussex,2018,0,0,0,0,0,0,0,0,0,0
Union,2018,0,0,0,0,0,0,0,0,0,0
Warren,2018,0,0,0,0,0,0,0,0,0,0
Atlantic,2017,1,0,0,0,1,0,0,0,0,0
Bergen,2017,7,0,4,0,3,51,1,48,2,0
Burlington,2017,0,0,0,0,0,0,0,0,0,0
Camden,2017,2,0,0,1,1,21,0,19,2,0
Cape May,2017,0,0,0,0,0,0,0,0,0,0
Cumberland,2017,0,0,0,0,0,1,0,1,0,0
Essex,2017,65,0,0,22,43,58,22,36,0,0
Gloucester,2017,1,0,0,0,1,3,0,3,0,0
Hudson,2017,0,0,0,0,0,0,0,0,0,0
Hunterdon,2017,0,0,0,0,0,0,0,0,0,0
Mercer,2017,6,0,0,0,6,19,9,10,0,0
Middlesex,2017,0,0,0,0,0,0,0,0,0,0
Monmouth,2017,4,0,1,0,3,1,0,1,0,0
