county_name,lat,lng,location
Atlantic,39.443099999999994,-74.61701363636365,"[39.443099999999994, -74.61701363636365]"
Bergen,40.929877049180334,-74.04464262295082,"[40.929877049180334, -74.04464262295082]"
Burlington,39.98640555555555,-74.76062222222222,"[39.98640555555555, -74.76062222222222]"
Camden,39.8663675,-75.03034749999998,"[39.8663675, -75.03034749999998]"
Cape May,39.053009090909086,-74.83048636363637,"[39.053009090909086, -74.83048636363637]"
Cumberland,39.40166,-75.14281000000001,"[39.40166, -75.14281000000001]"
Essex,40.80367272727273,-74.23671818181819,"[40.80367272727273, -74.23671818181819]"
Gloucester,39.753973684210536,-75.1498947368421,"[39.753973684210536, -75.1498947368421]"
Hudson,40.75011,-74.07581,"[40.75011, -74.07581]"
Hunterdon,40.58042727272727,-74.94019999999999,"[40.58042727272727, -74.94019999999999]"
Mercer,40.26576923076924,-74.67112307692308,"[40.26576923076924, -74.67112307692308]"
Middlesex,40.45995428571429,-74.39999714285713,"[40.45995428571429, -74.39999714285713]"
Monmouth,40.2856,-74.10238070175441,"[40.2856, -74.10238070175441]"
Morris,40.886119047619054,-74.5142238095238,"[40.886119047619054, -74.5142238095238]"
Ocean,39.898613953488365,-74.21142790697675,"[39.898613953488365, -74.21142790697675]"
Passaic,40.949450000000006,-74.21388571428572,"[40.949450000000006, -74.21388571428572]"
Salem,39.620542857142866,-75.35459999999999,"[39.620542857142866, -75.35459999999999]"
Somerset,40.52062647058823,-74.58056470588235,"[40.52062647058823, -74.58056470588235]"
Sussex,41.094546666666666,-74.64102666666666,"[41.094546666666666, -74.64102666666666]"
Union,40.657738461538464,-74.31702307692309,"[40.657738461538464, -74.31702307692309]"
Warren,40.79450937499999,-75.02623125000001,"[40.79450937499999, -75.02623125000001]"
