county,median_hh_income,median_hh_inc_moe,poverty_count,poverty_count_moe,poverty_rate,poverty_rate_moe,st_abb,year,state_fips,county_fips
Atlantic,38124,2916,25502,5440,2.30,10.8,NJ,1997,34,001
Bergen,59557,2502,45668,9811,1.10,5.3,NJ,1997,34,003
Burlington,52543,2797,24020,5126,1.25,5.8,NJ,1997,34,005
Camden,41441,2659,64508,13637,2.70,12.8,NJ,1997,34,007
Cape May,36211,2968,10677,2293,2.35,11.0,NJ,1997,34,009
Cumberland,34935,2977,21445,4592,3.40,15.8,NJ,1997,34,011
Essex,39823,2533,128780,27344,3.65,17.3,NJ,1997,34,013
Gloucester,49279,2900,18399,3908,1.60,7.4,NJ,1997,34,015
Hudson,34848,2596,95753,20202,3.65,17.1,NJ,1997,34,017
Hunterdon,72398,3289,3750,886,0.70,3.1,NJ,1997,34,019
Mercer,49251,2826,30417,6430,2.00,9.4,NJ,1997,34,021
Middlesex,52646,2605,47775,10025,1.40,6.8,NJ,1997,34,023
Monmouth,57985,2710,39877,8396,1.40,6.6,NJ,1997,34,025
Morris,67919,2979,15847,3565,0.75,3.4,NJ,1997,34,027
Ocean,42053,2750,38692,8209,1.65,7.8,NJ,1997,34,029
Passaic,39783,2747,60390,12707,2.60,12.5,NJ,1997,34,031
Salem,42378,3053,6789,1502,2.30,10.5,NJ,1997,34,033
Somerset,74586,3109,11492,2588,0.95,4.1,NJ,1997,34,035
Sussex,59626,3143,5941,1331,0.90,4.1,NJ,1997,34,037
Union,50254,2623,46766,9726,1.95,9.3,NJ,1997,34,039
Warren,50002,3088,6709,1469,1.45,6.7,NJ,1997,34,041
Atlantic,39698,2889,24945,5282,2.20,10.5,NJ,1998,34,001
Bergen,60760,2534,45904,9823,1.10,5.3,NJ,1998,34,003
Burlington,54230,2802,23675,5031,1.20,5.7,NJ,1998,34,005
Camden,42508,2665,61547,12926,2.60,12.2,NJ,1998,34,007
Cape May,36930,2941,10416,2221,2.25,10.7,NJ,1998,34,009
Cumberland,36545,2958,20058,4276,3.15,14.8,NJ,1998,34,011
Essex,40595,2546,119331,25277,3.40,16.0,NJ,1998,34,013
Gloucester,50868,2870,17545,3711,1.50,7.0,NJ,1998,34,015
Hudson,35743,2601,90455,19047,3.40,16.2,NJ,1998,34,017
Hunterdon,74457,3325,3505,817,0.65,2.8,NJ,1998,34,019
Mercer,50863,2823,29815,6280,1.95,9.2,NJ,1998,34,021
Middlesex,54070,2626,46436,9722,1.35,6.5,NJ,1998,34,023
Monmouth,60447,2727,37495,7870,1.30,6.1,NJ,1998,34,025
Morris,69490,2982,15354,3445,0.70,3.3,NJ,1998,34,027
Ocean,43345,2766,36948,7816,1.60,7.4,NJ,1998,34,029
Passaic,40923,2771,59349,12416,2.55,12.2,NJ,1998,34,031
Salem,43386,3013,6383,1406,2.20,10.0,NJ,1998,34,033
Somerset,71779,3085,10886,2440,0.85,3.7,NJ,1998,34,035
Sussex,62626,3127,5931,1321,0.90,4.1,NJ,1998,34,037
Union,51524,2661,45138,9365,1.85,9.0,NJ,1998,34,039
Warren,53382,3063,6290,1368,1.35,6.2,NJ,1998,34,041
Atlantic,40472,2541,23797,5404,2.15,9.6,NJ,1999,34,001
Bergen,61262,3538,45644,10345,1.15,5.2,NJ,1999,34,003
Burlington,55566,3448,21995,5043,1.20,5.3,NJ,1999,34,005
Camden,43554,2604,53366,12005,2.40,10.6,NJ,1999,34,007
Cape May,38282,2422,9621,2209,2.15,9.5,NJ,1999,34,009
Cumberland,36684,2349,18481,4238,3.10,13.5,NJ,1999,34,011
Essex,40888,2369,109846,24783,3.20,14.1,NJ,1999,34,013
Gloucester,51670,3235,15746,3584,1.45,6.2,NJ,1999,34,015
Hudson,36778,2170,82983,18728,3.10,13.7,NJ,1999,34,017
Hunterdon,76716,5149,3268,809,0.65,2.7,NJ,1999,34,019
Mercer,52305,3237,27790,6280,1.85,8.3,NJ,1999,34,021
Middlesex,55525,3285,44840,10097,1.35,6.1,NJ,1999,34,023
Monmouth,62361,3783,35762,8047,1.35,5.8,NJ,1999,34,025
Morris,72792,4621,16546,3953,0.85,3.5,NJ,1999,34,027
Ocean,44345,2742,36294,8226,1.65,7.2,NJ,1999,34,029
Passaic,42878,2663,56218,12607,2.60,11.6,NJ,1999,34,031
Salem,43577,2827,5599,1316,2.05,8.8,NJ,1999,34,033
Somerset,74192,4738,10737,2504,0.85,3.6,NJ,1999,34,035
Sussex,62450,4054,5588,1325,0.90,3.9,NJ,1999,34,037
Union,51576,3084,42749,9524,1.85,8.2,NJ,1999,34,039
Warren,53814,3499,5874,1370,1.35,5.8,NJ,1999,34,041
Atlantic,42849,3011,23804,4991,2.00,9.5,NJ,2000,34,001
Bergen,64214,4071,43810,9152,1.05,5.0,NJ,2000,34,003
Burlington,58793,4065,21225,4492,1.10,5.1,NJ,2000,34,005
Camden,47020,3135,50097,10445,2.10,10.0,NJ,2000,34,007
Cape May,40822,2942,9342,1981,1.95,9.3,NJ,2000,34,009
Cumberland,38346,2797,18649,3971,2.95,13.7,NJ,2000,34,011
Essex,41988,2657,105341,21869,2.80,13.6,NJ,2000,34,013
Gloucester,54431,3844,15054,3170,1.25,5.9,NJ,2000,34,015
Hudson,38907,2544,82709,17228,2.85,13.6,NJ,2000,34,017
Hunterdon,80429,6075,3178,727,0.65,2.6,NJ,2000,34,019
Mercer,55474,3855,26070,5468,1.65,7.8,NJ,2000,34,021
Middlesex,58765,3822,43330,9009,1.20,5.8,NJ,2000,34,023
Monmouth,66283,4436,32705,6807,1.10,5.3,NJ,2000,34,025
Morris,77524,5414,15010,3315,0.70,3.2,NJ,2000,34,027
Ocean,46940,3197,34792,7292,1.40,6.7,NJ,2000,34,029
Passaic,45783,3146,54541,11343,2.35,11.2,NJ,2000,34,031
Salem,46026,3416,5326,1167,1.85,8.4,NJ,2000,34,033
Somerset,77646,5545,10872,2345,0.80,3.6,NJ,2000,34,035
Sussex,65497,4774,5577,1220,0.85,3.8,NJ,2000,34,037
Union,54138,3563,40470,8337,1.60,7.8,NJ,2000,34,039
Warren,57245,4220,5793,1249,1.15,5.5,NJ,2000,34,041
Atlantic,41909,2762,24621,5281,2.10,9.7,NJ,2001,34,001
Bergen,64229,3872,46185,9863,1.10,5.2,NJ,2001,34,003
Burlington,59071,3802,21876,4724,1.15,5.2,NJ,2001,34,005
Camden,46559,2922,48622,10360,2.05,9.7,NJ,2001,34,007
Cape May,40353,2700,9530,2066,2.10,9.6,NJ,2001,34,009
Cumberland,36574,2477,18962,4152,3.00,13.9,NJ,2001,34,011
Essex,41672,2504,102909,21850,2.85,13.3,NJ,2001,34,013
Gloucester,53632,3549,15149,3268,1.25,5.9,NJ,2001,34,015
Hudson,38433,2369,83137,17718,2.95,13.8,NJ,2001,34,017
