county,year,price
Atlantic,1996,108995.08
Atlantic,1997,111600.33
Atlantic,1998,115382.33
Atlantic,1999,120679.0
Atlantic,2000,128581.33
Atlantic,2001,137365.92
Atlantic,2002,151304.17
Atlantic,2003,176166.75
Atlantic,2004,209567.75
Atlantic,2005,252320.0
Atlantic,2006,290632.75
Atlantic,2007,291331.67
Atlantic,2008,267769.83
Atlantic,2009,233581.92
Atlantic,2010,221230.75
Atlantic,2011,205974.83
Atlantic,2012,194958.58
Atlantic,2013,191150.75
Atlantic,2014,194470.0
Atlantic,2015,186052.25
Atlantic,2016,175862.0
Atlantic,2017,176391.25
Atlantic,2018,185926.08
Atlantic,2019,196067.42
Atlantic,2020,209139.5
Atlantic,2021,229061.0
Bergen,1996,215173.58
Bergen,1997,217857.92
Bergen,1998,226943.33
Bergen,1999,244393.92
Bergen,2000,270978.33
Bergen,2001,298414.08
Bergen,2002,334943.83
Bergen,2003,381625.0
Bergen,2004,428919.33
Bergen,2005,489772.08
Bergen,2006,526519.42
Bergen,2007,514284.33
Bergen,2008,483851.58
Bergen,2009,456328.58
Bergen,2010,447368.08
Bergen,2011,428430.17
Bergen,2012,412730.67
Bergen,2013,426550.33
Bergen,2014,443285.33
Bergen,2015,452857.75
Bergen,2016,464526.17
Bergen,2017,478115.0
Bergen,2018,491586.42
Bergen,2019,494018.42
Bergen,2020,509725.83
Bergen,2021,539979.5
Burlington,1996,138151.67
Burlington,1997,139935.25
Burlington,1998,141871.92
Burlington,1999,145541.92
Burlington,2000,151686.92
Burlington,2001,160424.42
Burlington,2002,177043.08
Burlington,2003,204138.58
Burlington,2004,234498.0
Burlington,2005,267793.75
Burlington,2006,296371.75
Burlington,2007,296076.42
Burlington,2008,276819.83
Burlington,2009,255228.08
Burlington,2010,245833.67
Burlington,2011,227440.0
Burlington,2012,215685.75
Burlington,2013,217803.83
Burlington,2014,219585.92
Burlington,2015,220449.92
Burlington,2016,220975.75
Burlington,2017,224566.75
Burlington,2018,230662.33
Burlington,2019,238593.67
Burlington,2020,248637.25
Burlington,2021,265925.0
Camden,1996,106914.5
Camden,1997,108041.17
Camden,1998,109267.58
Camden,1999,112734.75
Camden,2000,116454.5
Camden,2001,121371.83
Camden,2002,130416.5
Camden,2003,147972.92
Camden,2004,170647.25
Camden,2005,198353.33
Camden,2006,223357.42
Camden,2007,229926.92
Camden,2008,219951.75
Camden,2009,200332.0
Camden,2010,192939.67
Camden,2011,178546.25
Camden,2012,165492.0
Camden,2013,163183.58
Camden,2014,165242.5
Camden,2015,164507.33
Camden,2016,165169.0
Camden,2017,168415.83
Camden,2018,175142.5
Camden,2019,181980.75
Camden,2020,195003.58
Camden,2021,214908.5
Cape May,1996,131862.67
Cape May,1997,134215.5
Cape May,1998,140549.92
Cape May,1999,151798.75
Cape May,2000,173212.25
Cape May,2001,196043.25
Cape May,2002,225625.67
Cape May,2003,272007.58
Cape May,2004,331723.58
Cape May,2005,395479.5
Cape May,2006,439895.25
Cape May,2007,417242.17
Cape May,2008,410219.33
Cape May,2009,389663.25
Cape May,2010,373225.83
Cape May,2011,353139.33
Cape May,2012,346823.17
Cape May,2013,346024.58
Cape May,2014,349033.25
Cape May,2015,350412.33
Cape May,2016,354809.5
Cape May,2017,359288.42
Cape May,2018,377710.58
Cape May,2019,389294.58
Cape May,2020,418736.5
Cape May,2021,458681.5
Cumberland,1996,110042.25
Cumberland,1997,110799.08
Cumberland,1998,111699.75
Cumberland,1999,115199.5
Cumberland,2000,120634.42
Cumberland,2001,125252.67
Cumberland,2002,121467.83
Cumberland,2003,122874.67
Cumberland,2004,141164.25
Cumberland,2005,170154.42
Cumberland,2006,199759.0
Cumberland,2007,212779.33
Cumberland,2008,204763.83
Cumberland,2009,188443.33
Cumberland,2010,170347.0
Cumberland,2011,165731.92
Cumberland,2012,160467.17
Cumberland,2013,146743.33
Cumberland,2014,140719.25
Cumberland,2015,138510.0
Cumberland,2016,137387.75
Cumberland,2017,137949.92
Cumberland,2018,139535.58
Cumberland,2019,137622.42
Cumberland,2020,145859.17
Cumberland,2021,163940.0
Essex,1996,168129.67
Essex,1997,168817.17
Essex,1998,174813.83
Essex,1999,189112.17
Essex,2000,210035.92
Essex,2001,236954.67
Essex,2002,267842.0
Essex,2003,307421.08
Essex,2004,342713.58
Essex,2005,394669.33
Essex,2006,435005.67
Essex,2007,436113.83
Essex,2008,412194.83
Essex,2009,372014.83
Essex,2010,354167.42
Essex,2011,332755.5
Essex,2012,315721.75
Essex,2013,318672.17
Essex,2014,336149.75
Essex,2015,347547.17
Essex,2016,359407.75
Essex,2017,375687.25
Essex,2018,394743.33
Essex,2019,411933.58
Essex,2020,429602.33
Essex,2021,465048.0
Gloucester,1996,123223.5
Gloucester,1997,124826.42
Gloucester,1998,127571.42
Gloucester,1999,130959.83
Gloucester,2000,136639.0
Gloucester,2001,141839.83
Gloucester,2002,153983.75
Gloucester,2003,173598.75
Gloucester,2004,197097.75
Gloucester,2005,228152.83
Gloucester,2006,253493.25
Gloucester,2007,256426.42
Gloucester,2008,246501.0
Gloucester,2009,227906.58
Gloucester,2010,218945.83
Gloucester,2011,201120.25
Gloucester,2012,191010.25
Gloucester,2013,192531.0
Gloucester,2014,194035.42
Gloucester,2015,198800.08
Gloucester,2016,198043.0
Gloucester,2017,199196.58
Gloucester,2018,204181.75
Gloucester,2019,207696.42
Gloucester,2020,217800.0
Gloucester,2021,236090.5
Hudson,1996,150335.58
Hudson,1997,154252.92
Hudson,1998,162234.92
Hudson,1999,174291.58
Hudson,2000,192529.5
Hudson,2001,217941.58
Hudson,2002,251681.67
Hudson,2003,288632.17
Hudson,2004,334413.92
Hudson,2005,405359.08
Hudson,2006,464732.92
Hudson,2007,475145.5
Hudson,2008,452135.67
Hudson,2009,391727.75
Hudson,2010,359314.33
Hudson,2011,326784.17
Hudson,2012,318479.67
Hudson,2013,338057.0
Hudson,2014,364286.92
Hudson,2015,383088.58
Hudson,2016,409631.92
Hudson,2017,439802.58
Hudson,2018,469338.5
Hudson,2019,479035.25
Hudson,2020,493421.42
Hudson,2021,513213.5
Hunterdon,1996,221218.58
Hunterdon,1997,224235.75
Hunterdon,1998,228585.08
Hunterdon,1999,243489.75
Hunterdon,2000,269812.25
Hunterdon,2001,299698.67
Hunterdon,2002,328579.17
Hunterdon,2003,364200.0
Hunterdon,2004,396168.42
Hunterdon,2005,443147.42
Hunterdon,2006,472603.67
Hunterdon,2007,459844.08
Hunterdon,2008,430854.42
Hunterdon,2009,393988.42
Hunterdon,2010,388878.42
Hunterdon,2011,369468.0
Hunterdon,2012,354244.42
Hunterdon,2013,360721.42
Hunterdon,2014,379196.83
Hunterdon,2015,380194.75
Hunterdon,2016,376774.17
Hunterdon,2017,384010.58
Hunterdon,2018,390068.17
Hunterdon,2019,395401.75
Hunterdon,2020,399769.83
Hunterdon,2021,424594.0
Mercer,1996,140542.08
Mercer,1997,140867.33
Mercer,1998,143338.17
Mercer,1999,149002.67
Mercer,2000,160110.0
Mercer,2001,177641.0
Mercer,2002,200084.83
Mercer,2003,228550.5
Mercer,2004,258378.25
Mercer,2005,294778.83
Mercer,2006,321801.92
Mercer,2007,316812.83
Mercer,2008,293374.42
Mercer,2009,268039.75
Mercer,2010,262396.42
Mercer,2011,239028.67
Mercer,2012,223372.92
Mercer,2013,227961.83
Mercer,2014,232852.92
Mercer,2015,235480.83
Mercer,2016,236224.75
Mercer,2017,238138.58
Mercer,2018,248015.33
Mercer,2019,254485.17
Mercer,2020,263666.5
Mercer,2021,279059.0
Middlesex,1996,160120.67
Middlesex,1997,160702.42
Middlesex,1998,164611.5
Middlesex,1999,173557.33
Middlesex,2000,189868.42
Middlesex,2001,214039.75
Middlesex,2002,242702.92
Middlesex,2003,279066.33
Middlesex,2004,310709.67
Middlesex,2005,357362.0
Middlesex,2006,388521.33
Middlesex,2007,378119.25
Middlesex,2008,354842.67
Middlesex,2009,329158.92
Middlesex,2010,319464.33
Middlesex,2011,297848.75
Middlesex,2012,281452.42
Middlesex,2013,292220.33
Middlesex,2014,307306.67
Middlesex,2015,313988.83
Middlesex,2016,312580.0
Middlesex,2017,326545.75
Middlesex,2018,342557.75
Middlesex,2019,347639.83
Middlesex,2020,360032.67
Middlesex,2021,377919.5
Monmouth,1996,183760.92
Monmouth,1997,188311.0
Monmouth,1998,194960.83
Monmouth,1999,207441.33
Monmouth,2000,230253.75
Monmouth,2001,263430.92
Monmouth,2002,298123.0
Monmouth,2003,344673.08
Monmouth,2004,390523.0
Monmouth,2005,443561.75
Monmouth,2006,478655.0
Monmouth,2007,463056.25
Monmouth,2008,435484.33
Monmouth,2009,404698.83
Monmouth,2010,393175.67
Monmouth,2011,376313.25
Monmouth,2012,358180.5
Monmouth,2013,369553.5
Monmouth,2014,388927.42
Monmouth,2015,392619.58
Monmouth,2016,397709.25
Monmouth,2017,410241.58
Monmouth,2018,431517.67
Monmouth,2019,441151.33
Monmouth,2020,458757.5
Monmouth,2021,503183.5
Morris,1996,224417.83
Morris,1997,228809.08
Morris,1998,239136.0
Morris,1999,256095.92
Morris,2000,284531.17
Morris,2001,314392.92
Morris,2002,348173.92
Morris,2003,392125.58
Morris,2004,439243.17
Morris,2005,488640.83
Morris,2006,524502.42
Morris,2007,508294.83
Morris,2008,468647.92
Morris,2009,442791.67
Morris,2010,431090.75
Morris,2011,410486.08
Morris,2012,394941.0
Morris,2013,404922.58
Morris,2014,419256.92
Morris,2015,427850.08
Morris,2016,426382.17
Morris,2017,436397.25
Morris,2018,448941.75
