county_name,report_type,murder,rape,robbery,assault,burglary,larceny,auto_theft,total
ATLANTIC,Number of Arrests,7.0,10.0,55.0,180.0,133.0,620.0,17.0,1022.0
ATLANTIC,Number of Clearances,3.0,10.0,27.0,183.0,77.0,646.0,35.0,981.0
ATLANTIC,Number of Offenses,12.0,45.0,130.0,331.0,598.0,2994.0,203.0,4313.0
ATLANTIC,Percent Cleared,140.0,244.0,339.0,1192.0,293.0,319.0,402.0,389.0
ATLANTIC,"Rate Per 100,000",50.4,220.5,669.5,1626.9000000000005,4440.5,20458.6,1253.7999999999997,28720.1
BERGEN,Number of Arrests,4.0,12.0,56.0,222.0,158.0,819.0,41.0,1312.0
BERGEN,Number of Clearances,4.0,12.0,38.0,178.0,108.0,817.0,53.0,1210.0
BERGEN,Number of Offenses,5.0,45.0,107.0,249.0,547.0,4299.0,476.0,5728.0
BERGEN,Percent Cleared,300.0,598.0,1538.0,4104.0,1356.0,1199.0,1398.0,1468.0
BERGEN,"Rate Per 100,000",22.499999999999996,256.1,566.3,1599.1000000000001,3822.2,133132.19999999998,3391.3000000000015,142790.09999999998
BURLINGTON,Number of Arrests,2.0,16.0,29.0,200.0,105.0,663.0,18.0,1033.0
BURLINGTON,Number of Clearances,3.0,19.0,28.0,158.0,120.0,656.0,30.0,1014.0
BURLINGTON,Number of Offenses,6.0,59.0,55.0,287.0,470.0,2695.0,219.0,3791.0
BURLINGTON,Percent Cleared,200.0,628.0,907.0,1525.0,643.0,849.0,636.0,958.0
BURLINGTON,"Rate Per 100,000",29.7,369.20000000000005,351.09999999999997,2164.5000000000005,3041.7,18722.199999999997,1425.1999999999998,26103.899999999994
CAMDEN,Number of Arrests,16.0,25.0,161.0,563.0,171.0,1159.0,64.0,2159.0
CAMDEN,Number of Clearances,16.0,26.0,144.0,550.0,138.0,1150.0,63.0,2087.0
CAMDEN,Number of Offenses,22.0,73.0,327.0,1008.0,871.0,5671.0,608.0,8580.0
CAMDEN,Percent Cleared,467.0,729.0,1336.0,2828.0,777.0,762.0,616.0,976.0
CAMDEN,"Rate Per 100,000",52.199999999999996,312.9,1594.0000000000005,4614.300000000001,7202.800000000001,47147.9,2907.7999999999993,63832.1
CAPE MAY,Number of Arrests,0.0,6.0,23.0,70.0,33.0,143.0,15.0,290.0
CAPE MAY,Number of Clearances,0.0,5.0,10.0,65.0,28.0,181.0,16.0,305.0
CAPE MAY,Number of Offenses,0.0,13.0,20.0,84.0,194.0,1339.0,48.0,1698.0
CAPE MAY,Percent Cleared,0.0,260.0,358.0,769.0,213.0,195.0,365.0,265.0
CAPE MAY,"Rate Per 100,000",0.0,210.5,240.3,1873.9,5667.099999999999,46227.89999999999,711.0,54930.6
CUMBERLAND,Number of Arrests,3.0,18.0,51.0,170.0,90.0,474.0,24.0,830.0
CUMBERLAND,Number of Clearances,3.0,12.0,39.0,169.0,110.0,492.0,18.0,843.0
CUMBERLAND,Number of Offenses,5.0,30.0,105.0,326.0,461.0,1842.0,118.0,2887.0
