county_name,police_dept,report_type,murder,rape,robbery,assault,burglary,larceny,auto_theft,total
ATLANTIC,ABSECON CITY PD,Number of Offenses,0.0,2.0,5.0,15.0,28.0,204.0,10.0,264.0
ATLANTIC,ABSECON CITY PD,"Rate Per 100,000",0.0,24.2,60.6,181.8,339.3,2472.1,121.2,3199.2
ATLANTIC,ABSECON CITY PD,Number of Clearances,0.0,0.0,3.0,11.0,5.0,83.0,7.0,109.0
ATLANTIC,ABSECON CITY PD,Percent Cleared,0.0,0.0,60.0,73.0,18.0,41.0,70.0,41.0
ATLANTIC,ABSECON CITY PD,Number of Arrests,1.0,0.0,2.0,8.0,2.0,40.0,5.0,58.0
ATLANTIC,ATLANTIC CITY PD,Number of Offenses,5.0,24.0,82.0,126.0,99.0,616.0,68.0,1020.0
ATLANTIC,ATLANTIC CITY PD,"Rate Per 100,000",13.1,62.7,214.3,329.2,258.7,1609.6,177.7,2665.2
ATLANTIC,ATLANTIC CITY PD,Number of Clearances,2.0,5.0,12.0,35.0,15.0,61.0,0.0,130.0
ATLANTIC,ATLANTIC CITY PD,Percent Cleared,40.0,21.0,15.0,28.0,15.0,10.0,0.0,13.0
ATLANTIC,ATLANTIC CITY PD,Number of Arrests,4.0,5.0,21.0,52.0,23.0,82.0,1.0,188.0
ATLANTIC,ATLANTIC CO SHERIFF'S  OFFICE,Number of Offenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLANTIC,ATLANTIC CO SHERIFF'S  OFFICE,"Rate Per 100,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLANTIC,ATLANTIC CO SHERIFF'S  OFFICE,Number of Clearances,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLANTIC,ATLANTIC CO SHERIFF'S  OFFICE,Percent Cleared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLANTIC,ATLANTIC CO SHERIFF'S  OFFICE,Number of Arrests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLANTIC,ATLANTIC COUNTY PROSECUTOR'S OFFICE,Number of Offenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLANTIC,ATLANTIC COUNTY PROSECUTOR'S OFFICE,"Rate Per 100,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLANTIC,ATLANTIC COUNTY PROSECUTOR'S OFFICE,Number of Clearances,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLANTIC,ATLANTIC COUNTY PROSECUTOR'S OFFICE,Percent Cleared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLANTIC,ATLANTIC COUNTY PROSECUTOR'S OFFICE,Number of Arrests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLANTIC,BRIGANTINE PD,Number of Offenses,1.0,0.0,0.0,3.0,20.0,101.0,12.0,137.0
ATLANTIC,BRIGANTINE PD,"Rate Per 100,000",11.2,0.0,0.0,33.7,224.8,1135.3,134.9,1540.0
ATLANTIC,BRIGANTINE PD,Number of Clearances,1.0,0.0,0.0,2.0,3.0,13.0,3.0,22.0
ATLANTIC,BRIGANTINE PD,Percent Cleared,100.0,0.0,0.0,67.0,15.0,13.0,25.0,16.0
ATLANTIC,BRIGANTINE PD,Number of Arrests,1.0,0.0,0.0,4.0,1.0,12.0,3.0,21.0
ATLANTIC,BUENA PD,Number of Offenses,0.0,0.0,2.0,0.0,8.0,18.0,3.0,31.0
ATLANTIC,BUENA PD,"Rate Per 100,000",0.0,0.0,45.4,0.0,181.6,408.6,68.1,703.7
ATLANTIC,BUENA PD,Number of Clearances,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0
ATLANTIC,BUENA PD,Percent Cleared,0.0,0.0,0.0,0.0,25.0,11.0,0.0,13.0
ATLANTIC,BUENA PD,Number of Arrests,0.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0
ATLANTIC,EGG HARBOR CITY PD,Number of Offenses,0.0,2.0,6.0,5.0,21.0,75.0,7.0,116.0
ATLANTIC,EGG HARBOR CITY PD,"Rate Per 100,000",0.0,48.1,144.2,120.1,504.6,1802.0,168.2,2787.1
ATLANTIC,EGG HARBOR CITY PD,Number of Clearances,0.0,1.0,0.0,2.0,1.0,17.0,4.0,25.0
ATLANTIC,EGG HARBOR CITY PD,Percent Cleared,0.0,50.0,0.0,40.0,5.0,23.0,57.0,22.0
ATLANTIC,EGG HARBOR CITY PD,Number of Arrests,0.0,2.0,0.0,3.0,2.0,4.0,2.0,13.0
ATLANTIC,EGG HARBOR TWP PD,Number of Offenses,3.0,5.0,4.0,23.0,60.0,468.0,22.0,585.0
ATLANTIC,EGG HARBOR TWP PD,"Rate Per 100,000",6.9,11.6,9.2,53.1,138.6,1081.4,50.8,1351.8
ATLANTIC,EGG HARBOR TWP PD,Number of Clearances,0.0,2.0,2.0,15.0,4.0,170.0,2.0,195.0
ATLANTIC,EGG HARBOR TWP PD,Percent Cleared,0.0,40.0,50.0,65.0,7.0,36.0,9.0,33.0
ATLANTIC,EGG HARBOR TWP PD,Number of Arrests,0.0,2.0,6.0,14.0,12.0,190.0,0.0,224.0
ATLANTIC,GALLOWAY TWP PD,Number of Offenses,0.0,1.0,3.0,73.0,65.0,234.0,13.0,389.0
ATLANTIC,GALLOWAY TWP PD,"Rate Per 100,000",0.0,2.7,8.2,200.2,178.2,641.7,35.6,1066.7
ATLANTIC,GALLOWAY TWP PD,Number of Clearances,0.0,0.0,1.0,56.0,10.0,35.0,3.0,105.0
ATLANTIC,GALLOWAY TWP PD,Percent Cleared,0.0,0.0,33.0,77.0,15.0,15.0,23.0,27.0
ATLANTIC,GALLOWAY TWP PD,Number of Arrests,0.0,0.0,3.0,35.0,21.0,29.0,0.0,88.0
ATLANTIC,HAMILTON TWP PD,Number of Offenses,0.0,3.0,6.0,15.0,43.0,277.0,17.0,361.0
ATLANTIC,HAMILTON TWP PD,"Rate Per 100,000",0.0,11.4,22.7,56.9,163.0,1050.0,64.4,1368.5
ATLANTIC,HAMILTON TWP PD,Number of Clearances,0.0,0.0,3.0,4.0,3.0,86.0,3.0,99.0
ATLANTIC,HAMILTON TWP PD,Percent Cleared,0.0,0.0,50.0,27.0,7.0,31.0,18.0,27.0
ATLANTIC,HAMILTON TWP PD,Number of Arrests,0.0,1.0,5.0,4.0,14.0,103.0,1.0,128.0
ATLANTIC,HAMMONTON PD,Number of Offenses,0.0,0.0,0.0,20.0,31.0,123.0,7.0,181.0
ATLANTIC,HAMMONTON PD,"Rate Per 100,000",0.0,0.0,0.0,139.8,216.6,859.5,48.9,1264.8
ATLANTIC,HAMMONTON PD,Number of Clearances,0.0,0.0,0.0,21.0,3.0,11.0,0.0,35.0
ATLANTIC,HAMMONTON PD,Percent Cleared,0.0,0.0,0.0,105.0,10.0,9.0,0.0,19.0
ATLANTIC,HAMMONTON PD,Number of Arrests,0.0,0.0,0.0,8.0,4.0,21.0,0.0,33.0
ATLANTIC,LINWOOD CITY PD,Number of Offenses,0.0,0.0,0.0,1.0,5.0,15.0,0.0,21.0
ATLANTIC,LINWOOD CITY PD,"Rate Per 100,000",0.0,0.0,0.0,14.7,73.3,219.9,0.0,307.8
