county_name,agency,orinumber,population
ATLANTIC,ABSECON CITY PD,NJ0010100,8252
ATLANTIC,ATLANTIC CITY PD,NJ0010200,38271
ATLANTIC,ATLANTIC CO SHERIFF'S  OFFICE,NJ0010000,0
ATLANTIC,ATLANTIC COUNTY PROSECUTOR'S OFFICE,NJ0018900,0
ATLANTIC,BRIGANTINE PD,NJ0010300,8896
ATLANTIC,BUENA PD,NJ0010400,4405
ATLANTIC,EGG HARBOR CITY PD,NJ0010700,4162
ATLANTIC,EGG HARBOR TWP PD,NJ0010800,43276
ATLANTIC,GALLOWAY TWP PD,NJ0011100,36467
ATLANTIC,HAMILTON TWP PD,NJ0011200,26380
ATLANTIC,HAMMONTON PD,NJ0011300,14311
ATLANTIC,LINWOOD CITY PD,NJ0011400,6822
ATLANTIC,LONGPORT PD,NJ0011500,873
ATLANTIC,MARGATE PD,NJ0011600,6045
ATLANTIC,MULLICA TWP PD,NJ0011700,6005
ATLANTIC,NORTHFIELD PD,NJ0011800,8324
ATLANTIC,PLEASANTVILLE PD,NJ0011900,20799
ATLANTIC,SOMERS POINT PD,NJ0012100,10436
ATLANTIC,SP: ATLANTIC COUNTY,NJ001SP00,11545
ATLANTIC,STOCKTON UNIVERSITY,NJ0012400,0
ATLANTIC,VENTNOR PD,NJ0012200,10182
BERGEN,ALLENDALE PD,NJ0020100,6865
BERGEN,ALPINE PD,NJ0020200,1873
BERGEN,BERGEN CO PROSECUTOR'S OFFICE,NJ0028900,0
BERGEN,BERGEN CO SHERIFF'S DEPT,NJ0020000,0
BERGEN,BERGENFIELD PD,NJ0020300,27684
BERGEN,BOGOTA PD,NJ0020400,8499
BERGEN,CARLSTADT PD,NJ0020500,6252
BERGEN,CLIFFSIDE PARK PD,NJ0020600,25001
BERGEN,CLOSTER PD,NJ0020700,8691
BERGEN,CRESSKILL PD,NJ0020800,8862
BERGEN,DEMAREST PD,NJ0020900,4977
BERGEN,DUMONT PD,NJ0021000,17825
BERGEN,EAST RUTHERFORD PD,NJ0021200,9941
BERGEN,EDGEWATER PD,NJ0021300,12318
BERGEN,ELMWOOD PARK PD,NJ0021100,20277
BERGEN,EMERSON PD,NJ0021400,7679
BERGEN,ENGLEWOOD CLIFFS PD,NJ0021600,5395
BERGEN,ENGLEWOOD PD,NJ0021500,28988
BERGEN,FAIR LAWN PD,NJ0021700,33413
BERGEN,FAIRVIEW PD,NJ0021800,14428
BERGEN,FORT LEE PD,NJ0021900,37729
BERGEN,FRANKLIN LAKES BORO PD,NJ0022000,11191
BERGEN,GARFIELD PD,NJ0022100,32203
BERGEN,GLEN ROCK PD,NJ0022200,11937
BERGEN,HACKENSACK PD,NJ0022300,44926
BERGEN,HARRINGTON PARK PD,NJ0022400,4802
BERGEN,HASBROUCK HEIGHTS PD,NJ0022500,12163
BERGEN,HAWORTH PD,NJ0022600,3463
BERGEN,HILLSDALE PD,NJ0022700,10484
BERGEN,HO-HO-KUS PD,NJ0022800,4139
BERGEN,LEONIA PD,NJ0022900,9175
BERGEN,LITTLE FERRY PD,NJ0023000,10895
BERGEN,LODI PD,NJ0023100,24720
BERGEN,LYNDHURST PD,NJ0023200,22384
BERGEN,MAHWAH TWP PD,NJ0023300,26501
BERGEN,MAYWOOD PD,NJ0023400,9763
BERGEN,MIDLAND PARK PD,NJ0023500,7313
BERGEN,MONTVALE PD,NJ0023600,8729
BERGEN,MOONACHIE PD,NJ0023700,2774
BERGEN,NEW MILFORD PD,NJ0023800,16701
BERGEN,NORTH ARLINGTON PD,NJ0023900,15868
BERGEN,NORTHVALE PD,NJ0024000,4965
BERGEN,NORWOOD PD,NJ0024100,5836
BERGEN,OAKLAND PD,NJ0024200,13102
BERGEN,OLD TAPPAN PD,NJ0024300,5998
BERGEN,ORADELL PD,NJ0024400,8243
BERGEN,PALISADES INTER. PARKWAY PD,NJNPIPP00,0
BERGEN,PALISADES PARK PD,NJ0024500,20888
BERGEN,PARAMUS PD,NJ0024600,26744
BERGEN,PARK RIDGE PD,NJ0024700,8858
BERGEN,RAMSEY PD,NJ0024800,15126
