county_name,median_hh_income,median_hh_inc_moe,poverty_count,poverty_count_moe,poverty_rate,poverty_rate_moe,st_abb,state_fips,county_fips
ATLANTIC,62678,2822,29057,4251,1.6,11.3,NJ,34,001
BERGEN,107971,3025,52980,7662,0.8,5.7,NJ,34,003
BURLINGTON,88443,3233,24961,4374,1,5.7,NJ,34,005
CAMDEN,73168,2374,53641,7048,1.4,10.7,NJ,34,007
CAPE MAY,66565,4753,8853,1981,2.2,9.8,NJ,34,009
CUMBERLAND,54179,4177,19261,3288,2.4,13.8,NJ,34,011
ESSEX,64522,2529,107745,10052,1.3,13.8,NJ,34,013
GLOUCESTER,87996,4946,21602,3278,1.1,7.5,NJ,34,015
HUDSON,77738,2514,90976,8368,1.3,13.7,NJ,34,017
HUNTERDON,117275,8348,4794,1116,0.9,4,NJ,34,019
MERCER,79475,4872,41600,4602,1.3,11.9,NJ,34,021
MIDDLESEX,92770,3290,68514,7328,0.9,8.5,NJ,34,023
MONMOUTH,102579,2715,37725,5291,0.9,6.2,NJ,34,025
MORRIS,116328,4641,25678,3949,0.8,5.3,NJ,34,027
OCEAN,75627,2657,53950,7903,1.3,9,NJ,34,029
PASSAIC,76039,2039,65342,6566,1.3,13.3,NJ,34,031
SALEM,68146,2768,7000,1346,2.2,11.4,NJ,34,033
SOMERSET,112722,6545,17409,3313,1,5.4,NJ,34,035
SUSSEX,100281,3560,7180,1538,1.1,5.2,NJ,34,037
UNION,79953,3459,50094,6908,1.3,9.1,NJ,34,039
WARREN,83998,3644,7313,1572,1.5,7.1,NJ,34,041
