county_code,county_name,district_code,district_name,school_code,school_name,gradespan,rating
01,ATLANTIC,0010,Absecon Public Schools District,050,Emma C Attales,05-08,40.5
01,ATLANTIC,0010,Absecon Public Schools District,060,H Ashton Marsh,PK-04,37.75
01,ATLANTIC,0110,Atlantic City School District,030,Sovereign Avenue School,PK-08,52.25
01,ATLANTIC,0110,Atlantic City School District,050,Chelsea Heights School,PK-08,55.25
01,ATLANTIC,0110,Atlantic City School District,060,Texas Avenue School,KG-08,46.0
01,ATLANTIC,0110,Atlantic City School District,070,New York Avenue School,PK-08,45.5
01,ATLANTIC,0110,Atlantic City School District,080,Uptown School Complex,PK-08,38.0
01,ATLANTIC,0110,Atlantic City School District,100,Pennsylvania Ave School,PK-08,43.75
01,ATLANTIC,0110,Atlantic City School District,120,Richmond Avenue School,PK-08,48.25
01,ATLANTIC,0110,Atlantic City School District,140,Dr Martin Luther King Jr School Complex,PK-08,47.75
01,ATLANTIC,0110,Atlantic City School District,300,Brighton Avenue School,PK-05,45.0
01,ATLANTIC,0570,Brigantine Public School District,010,Brigantine Elementary School,PK-04,48.25
01,ATLANTIC,0570,Brigantine Public School District,030,Brigantine North Middle School,05-08,53.5
01,ATLANTIC,0590,Buena Regional School District,030,Buena Regional Middle School,06-08,46.5
01,ATLANTIC,0590,Buena Regional School District,300,Dr. J.P. Cleary Elementary School,03-05,35.0
01,ATLANTIC,1300,Egg Harbor City School District,030,Egg Harbor City Community School,04-08,42.5
01,ATLANTIC,1310,Egg Harbor Township School District,038,Alder Avenue Middle School,06-08,48.0
01,ATLANTIC,1310,Egg Harbor Township School District,039,Fernwood Avenue Middle School,06-08,51.0
01,ATLANTIC,1310,Egg Harbor Township School District,045,Dr. Joyanne D. Miller Elementary School,04-05,34.5
01,ATLANTIC,1410,Estell Manor School District,050,Estell Manor Elementary School,KG-08,52.25
01,ATLANTIC,1540,Folsom Borough School District,050,Folsom Elementary School,PK-08,54.5
01,ATLANTIC,1690,Galloway Township Public Schools,015,Arthur Rann Elementary School,PK-06,48.0
01,ATLANTIC,1690,Galloway Township Public Schools,016,Galloway Township Middle School,07-08,44.75
01,ATLANTIC,1690,Galloway Township Public Schools,045,Reeds Road Elementary School,KG-06,57.0
01,ATLANTIC,1690,Galloway Township Public Schools,046,Roland Rogers Elementary School,PK-06,53.0
01,ATLANTIC,1690,Galloway Township Public Schools,048,Smithville Elementary School,KG-06,55.0
01,ATLANTIC,1940,Hamilton Township School District,055,George L. Hess Educational Complex,PK-05,53.75
01,ATLANTIC,1940,Hamilton Township School District,120,William Davies Middle School,06-08,39.75
01,ATLANTIC,1960,Hammonton School District,055,Warren E. Sooy Jr. Elementary School,PK-05,46.5
01,ATLANTIC,1960,Hammonton School District,060,Hammonton Middle School,06-08,41.5
01,ATLANTIC,2680,Linwood City School District,020,Belhaven Middle School,05-08,63.5
01,ATLANTIC,2680,Linwood City School District,050,Seaview Elementary School,PK-05,46.5
01,ATLANTIC,3020,Margate City School District,010,Eugene A. Tighe Middle School,05-08,61.5
01,ATLANTIC,3020,Margate City School District,025,William H. Ross III School,PK-04,64.5
01,ATLANTIC,3480,Mullica Township School District,020,Mullica Township Primary School,PK-04,42.0
01,ATLANTIC,3480,Mullica Township School District,025,Mullica Township Middle School,05-08,47.0
01,ATLANTIC,3720,Northfield City School District,056,Northfield Community Middle School,05-08,46.0
01,ATLANTIC,3720,Northfield City School District,057,Northfield Community Elementary School,PK-04,51.75
01,ATLANTIC,4180,Pleasantville Public School District,055,Pleasantville Middle School,06-08,29.0
01,ATLANTIC,4180,Pleasantville Public School District,060,Washington Avenue Elementary School,KG-05,43.75
01,ATLANTIC,4180,Pleasantville Public School District,080,Leeds Avenue Elementary School,PK-05,45.25
01,ATLANTIC,4180,Pleasantville Public School District,085,North Main Street Elementary School,PK-05,65.25
01,ATLANTIC,4180,Pleasantville Public School District,095,South Main Street Elementary School,PK-05,45.5
01,ATLANTIC,4240,Port Republic School District,050,Port Republic Elementary School,KG-08,38.75
01,ATLANTIC,4800,Somers Point School District,055,Jordan Road Elementary School,04-08,48.5
01,ATLANTIC,5350,Ventnor City School District,040,Ventnor Middle School,05-08,60.5
01,ATLANTIC,5350,Ventnor City School District,045,Ventnor Elementary School,PK-04,52.0
01,ATLANTIC,5760,Weymouth Township School District,020,Weymouth Township Elementary School,PK-08,70.75
03,BERGEN,0040,Allendale Public School District,010,Brookside School,04-08,61.0
03,BERGEN,0080,Alpine School District,010,Alpine Elementary School,KG-08,59.5
03,BERGEN,0300,Bergenfield Borough School District,040,Franklin Elementary School,PK-05,50.5
03,BERGEN,0300,Bergenfield Borough School District,050,Hoover Elementary School,PK-05,53.25
03,BERGEN,0300,Bergenfield Borough School District,060,Jefferson Elementary School,KG-05,75.75
03,BERGEN,0300,Bergenfield Borough School District,070,Lincoln Elementary School,PK-05,57.5
03,BERGEN,0300,Bergenfield Borough School District,075,Roy W. Brown Middle School,06-08,40.0
03,BERGEN,0300,Bergenfield Borough School District,080,Washington Elementary School,KG-05,47.0
03,BERGEN,0440,Bogota Public School District,020,Bogota Jr./Sr. High School,07-12,26.0
03,BERGEN,0440,Bogota Public School District,030,E. Roy Bixby,PK-06,59.5
03,BERGEN,0440,Bogota Public School District,050,Lillian M. Steen,PK-06,65.0
03,BERGEN,0740,Carlstadt PublicSchool District,050,Carlstadt Public School,PK-08,48.0
03,BERGEN,0890,Cliffside Park School District,050,School #3,01-06,50.25
03,BERGEN,0890,Cliffside Park School District,060,School #4,KG-06,67.5
03,BERGEN,0890,Cliffside Park School District,070,School #5,PK-06,55.5
03,BERGEN,0890,Cliffside Park School District,080,School #6/Middle School,01-08,46.5
03,BERGEN,0930,Closter Public School District,050,Hillside Elementary School,PK-04,79.5
03,BERGEN,0930,Closter Public School District,060,Tenakill Middle School,05-08,56.5
03,BERGEN,0990,Cresskill Public School District,045,Cresskill Middle School,06-08,39.5
03,BERGEN,0990,Cresskill Public School District,050,Edward H. Bryan,KG-05,66.0
03,BERGEN,0990,Cresskill Public School District,060,Merritt Memorial,KG-05,71.5
03,BERGEN,1070,Demarest School District,040,Demarest Middle School,05-08,60.5
03,BERGEN,1070,Demarest School District,050,Luther Lee Emerson School,02-04,58.5
03,BERGEN,1130,Dumont Public School District,050,Grant Elementary School,KG-05,46.5
03,BERGEN,1130,Dumont Public School District,060,Honiss Elementary\Middle School,KG-08,53.0
03,BERGEN,1130,Dumont Public School District,070,Lincoln Elementary School,KG-05,40.5
03,BERGEN,1130,Dumont Public School District,080,Selzer Elementary\Middle School,PK-08,50.0
03,BERGEN,1230,East Rutherford School District,040,Alfred S. Faust,05-08,50.5
03,BERGEN,1230,East Rutherford School District,080,McKenzie School,PK-04,53.25
03,BERGEN,1270,Edgewater School District,050,Eleanor Van Gelder,03-06,53.25
03,BERGEN,1345,Elmwood Park School District,060,Memorial Middle School,06-08,49.75
03,BERGEN,1345,Elmwood Park School District,070,Gantner Avenue School,KG-05,52.0
03,BERGEN,1345,Elmwood Park School District,080,Gilbert Avenue School,PK-05,44.75
03,BERGEN,1345,Elmwood Park School District,090,Sixteenth Avenue School,PK-05,41.0
03,BERGEN,1360,Emerson Public School District,050,Emerson Jr Sr High,07-12,56.75
03,BERGEN,1360,Emerson Public School District,060,Patrick M Villano School,03-06,48.5
03,BERGEN,1370,Englewood Public School District,060,Dr. Leroy McCloud Elementary School,03-05,27.0
03,BERGEN,1370,Englewood Public School District,076,Janis E. Dismus Middle School,06-08,37.0
03,BERGEN,1380,Englewood Cliffs School District,060,Upper School,03-08,68.25
03,BERGEN,1450,Fair Lawn Public School District,060,Thomas Jefferson Middle School,06-08,48.0
03,BERGEN,1450,Fair Lawn Public School District,070,Memorial Middle School,06-08,46.5
03,BERGEN,1450,Fair Lawn Public School District,080,Henry B. Milnes Elementary School,KG-05,65.25
03,BERGEN,1450,Fair Lawn Public School District,085,John A. Forrest Elementary School,KG-05,54.75
03,BERGEN,1450,Fair Lawn Public School District,100,Lyncrest Elementary School,KG-05,57.0
03,BERGEN,1450,Fair Lawn Public School District,110,Radburn Elementary School,KG-05,62.0
03,BERGEN,1450,Fair Lawn Public School District,140,Warren Point Elementary School,KG-05,64.5
03,BERGEN,1450,Fair Lawn Public School District,160,Westmoreland Elementary School,PK-05,55.0
03,BERGEN,1470,Fairview Public School District,060,Lincoln School,04-08,42.0
03,BERGEN,1550,Fort Lee School District,060,School No. 1,KG-06,72.25
03,BERGEN,1550,Fort Lee School District,070,School No. 2,PK-06,60.75
03,BERGEN,1550,Fort Lee School District,080,School No. 3,KG-06,65.5
03,BERGEN,1550,Fort Lee School District,090,School No. 4,KG-06,64.0
03,BERGEN,1550,Fort Lee School District,100,Lewis F. Cole Middle School,07-08,33.5
03,BERGEN,1580,Franklin Lakes School District,015,Franklin Avenue Middle School,06-08,44.5
03,BERGEN,1580,Franklin Lakes School District,020,High Mountain Road School,PK-05,49.75
03,BERGEN,1580,Franklin Lakes School District,030,Woodside Avenue School,KG-05,62.0
03,BERGEN,1580,Franklin Lakes School District,040,Colonial Road School,PK-05,55.5
03,BERGEN,1700,Garfield Public School District,060,Christopher Columbus School #8,PK-05,34.75
03,BERGEN,1700,Garfield Public School District,070,Garfield Middle School,06-08,39.5
03,BERGEN,1700,Garfield Public School District,080,Abraham Lincoln School #6,PK-05,39.25
03,BERGEN,1700,Garfield Public School District,100,Roosevelt School #7,PK-05,45.75
03,BERGEN,1700,Garfield Public School District,120,Washington Irving School #4,PK-05,55.5
03,BERGEN,1700,Garfield Public School District,130,Woodrow Wilson School #5,PK-05,57.5
